,amazon_product_url,author,bestsellers_date,description,published_date,publisher,rank_last_week,rank_on_list,title,weeks_on_list,title_url,min_rank,max_weeks_on_list
0,http://www.amazon.com/Odd-Hours-Dean-Koontz/dp/0553807056?tag=NYTBS-20,Dean R Koontz,2008-05-24,"Odd Thomas, who can communicate with the dead, confronts evil forces in a California coastal town.",2008-06-08,Bantam,0,1,ODD HOURS,1,ODD+HOURS,1,6
1,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,2008-05-24,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.",2008-06-08,"Little, Brown",1,2,THE HOST,3,THE+HOST,10,9
2,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20,Emily Giffin,2008-05-24,A woman's happy marriage is shaken when she encounters an old boyfriend.,2008-06-08,St. Martin's,2,3,LOVE THE ONE YOU'RE WITH,2,LOVE+THE+ONE+YOU%27RE+WITH,10,9
3,http://www.amazon.com/The-Front-Garano-Patricia-Cornwell-ebook/dp/B0017T0C9M?tag=NYTBS-20,Patricia Cornwell,2008-05-24,"A Massachusetts state investigator and his team from ""At Risk"" confront a rogue association of municipal police departments.",2008-06-08,Putnam,0,4,THE FRONT,1,THE+FRONT,14,3
4,http://www.amazon.com/Snuff-Chuck-Palahniuk/dp/0385517882?tag=NYTBS-20,Chuck Palahniuk,2008-05-24,An aging porn queens aims to cap her career by having sex on film with 600 men in one day.,2008-06-08,Doubleday,0,5,SNUFF,1,SNUFF,10,3
5,http://www.amazon.com/Sundays-at-Tiffanys-James-Patterson/dp/0446199443?tag=NYTBS-20,James Patterson and Gabrielle Charbonnet,2008-05-24,A woman finds an unexpected love,2008-06-08,"Little, Brown",3,6,SUNDAYS AT TIFFANY’S,4,SUNDAYS+AT+TIFFANY%27S,10,8
6,http://www.amazon.com/Phantom-Prey-John-Sandford/dp/0425227987?tag=NYTBS-20,John Sandford,2008-05-24,The Minneapolis detective Lucas Davenport investigates a string of murders of young Goths.,2008-06-08,Putnam,4,7,PHANTOM PREY,3,PHANTOM+PREY,12,5
7,http://www.amazon.com/From-Worse-Southern-Vampire-Mysteries/dp/0441015891?tag=NYTBS-20,Jimmy Buffett,2008-05-24,A Southern family tries to hide its pet pig at a New York luxury hotel.,2008-06-08,"Little, Brown",6,8,SWINE NOT?,2,SWINE+NOT,16,2
8,http://www.amazon.com/Where-Are-You-Now-Novel/dp/1416566384?tag=NYTBS-20,Elizabeth George,2008-05-24,"In Cornwall, trying to recover from his wife's death, Detective Thomas Lynley becomes involved in a murder investigation.",2008-06-08,Harper,8,9,CARELESS IN RED,3,CARELESS+IN+RED,12,4
9,http://www.amazon.com/The-Whole-Truth-David-Baldacci/dp/0446539686?tag=NYTBS-20,David Baldacci,2008-05-24,An intelligence agent and a journalist team up against a warmongering defense contractor.,2008-06-08,Grand Central,7,10,THE WHOLE TRUTH,5,THE+WHOLE+TRUTH,10,6
10,http://www.amazon.com/Careless-Red-Novel-Elizabeth-George/dp/0061160873?tag=NYTBS-20,Troy Denning,2008-05-24,"The New Jedi order battles Darth Caedus, Darth Vader's gradson; a 'Star Wars: Legacy of the Force' novel.",2008-06-08,Del Rey/Ballantine,5,11,INVINCIBLE,2,INVINCIBLE,11,3
11,http://www.amazon.com/Unaccustomed-Earth-Jhumpa-Lahiri/dp/0307265730?tag=NYTBS-20,James Frey,2008-05-24,"A novel, set in Los Angeles, by the author of ""A Million Little Pieces.""",2008-06-08,Harper,9,12,BRIGHT SHINY MORNING,2,BRIGHT+SHINY+MORNING,12,2
