,author_id,gender,works_count
0,3453636,female,96
1,9226,male,188
2,17061,None,159
3,389474,male,19
4,3453636,female,96
5,27847,female,73
6,76671,male,30
7,427437,female,3
8,16290,female,70
9,5023,None,32
10,2559520,male,13
11,2493,female,97
12,20950,male,33
13,11630,female,48
14,29085,None,55
15,2384,female,114
16,27932,male,59
17,11349,female,545
18,3780,male,648
19,14610,male,164
20,7025,male,85
21,3780,male,648
22,2929,male,73
23,1530227,None,3
24,32498,None,137
25,18411,male,168
26,138518,male,106
27,3490,female,29
28,1676417,None,11
29,46097,male,98
30,625,female,779
31,5023,None,32
32,38550,male,240
33,12672,female,117
34,7734428,female,10
35,42211,None,77
36,40577,male,7
37,6356,male,196
38,721,male,264
39,12546,male,46
40,6251,female,59
41,589,male,545
42,21387,None,52
43,1657638,female,223
44,3075,male,113
45,314195,male,70
46,17435,male,50
47,690619,female,35
48,1397570,male,14
49,4428,None,53
50,1239,female,135
51,19696,male,67
52,7031,male,83
53,15292,female,182
54,2384,female,114
55,2345,male,110
56,4738,male,336
57,3780,male,648
58,16218,male,36
59,11957,male,93
60,63650,male,27
61,54958,female,64
62,18443878,None,1
63,437669,female,6
64,153394,female,33
65,10289,None,78
66,3090,female,24
67,314195,male,70
68,15481463,None,18
69,1025097,female,103
70,2995577,female,3
71,460979,female,3
72,7025886,male,11
73,9972,female,11
74,13711601,female,3
75,4637539,female,27
76,435808,None,28
77,3441,male,93
78,233537,male,7
79,9873524,None,17
80,397,male,171
81,205,male,523
82,16290,female,70
83,10289,None,78
84,7128,female,65
85,11349,female,545
86,1055,male,92
87,2331,None,43
88,8203,male,61
89,7153,male,50
90,54958,female,64
91,3936,male,112
92,4610,male,97
93,19706,male,212
94,6268,female,132
95,17061,None,159
96,3447,None,185
97,1023510,male,259
98,1304470,None,21
99,3532,female,180
100,3936,male,112
101,1906497,female,4
102,6218,female,157
103,3530,female,44
104,32590,None,145
105,194531,male,16
106,6252,male,306
107,16984671,None,3
108,63607,male,41
109,3532,female,180
110,211268,female,28
111,1279042,male,23
112,9761936,male,5
113,1612,male,241
114,17061,None,159
115,14255,female,293
116,7085305,None,7
117,1538,male,458
118,18411,male,168
119,761595,female,4
120,7136914,female,48
121,3936,male,112
122,704,female,235
123,2782,male,78
124,20258,female,76
125,4428,None,53
126,941441,female,70
127,12542,None,156
128,9355,None,431
129,9355,None,431
130,4820,male,253
131,14719991,None,4
132,6331,female,256
133,10517,male,216
