,title,author,publisher,description,min_rank,max_weeks_on_list,title_url
0,ODD HOURS,Dean R Koontz,Bantam,"Odd Thomas, who can communicate with the dead, confronts evil forces in a California coastal town.",1,6,ODD+HOURS
1,THE HOST,Stephenie Meyer,"Little, Brown","Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.",10,9,THE+HOST
2,LOVE THE ONE YOU'RE WITH,Emily Giffin,St. Martin's,A woman's happy marriage is shaken when she encounters an old boyfriend.,10,9,LOVE+THE+ONE+YOU%27RE+WITH
3,THE FRONT,Patricia Cornwell,Putnam,"A Massachusetts state investigator and his team from ""At Risk"" confront a rogue association of municipal police departments.",14,3,THE+FRONT
4,SNUFF,Chuck Palahniuk,Doubleday,An aging porn queens aims to cap her career by having sex on film with 600 men in one day.,10,3,SNUFF
5,SUNDAYS AT TIFFANY’S,James Patterson and Gabrielle Charbonnet,"Little, Brown",A woman finds an unexpected love,10,8,SUNDAYS+AT+TIFFANY%27S
6,PHANTOM PREY,John Sandford,Putnam,The Minneapolis detective Lucas Davenport investigates a string of murders of young Goths.,12,5,PHANTOM+PREY
7,SWINE NOT?,Jimmy Buffett,"Little, Brown",A Southern family tries to hide its pet pig at a New York luxury hotel.,16,2,SWINE+NOT
8,CARELESS IN RED,Elizabeth George,Harper,"In Cornwall, trying to recover from his wife's death, Detective Thomas Lynley becomes involved in a murder investigation.",12,4,CARELESS+IN+RED
9,THE WHOLE TRUTH,David Baldacci,Grand Central,An intelligence agent and a journalist team up against a warmongering defense contractor.,10,6,THE+WHOLE+TRUTH
10,INVINCIBLE,Troy Denning,Del Rey/Ballantine,"The New Jedi order battles Darth Caedus, Darth Vader's gradson; a 'Star Wars: Legacy of the Force' novel.",11,3,INVINCIBLE
11,BRIGHT SHINY MORNING,James Frey,Harper,"A novel, set in Los Angeles, by the author of ""A Million Little Pieces.""",12,2,BRIGHT+SHINY+MORNING
12,THE ART OF RACING IN THE RAIN,Garth Stein,Harper,"A Lab-terrier mix with great insight into the human condition helps his owner, a struggling race car driver.",13,5,THE+ART+OF+RACING+IN+THE+RAIN
