,Unnamed: 0,title_query,author_nyt,author_gr,min_rank,max_weeks_on_list,author_id,average_rating,book_id,ratings_count,title,gender,num_pages,author_match
1,1,THE HOST,Stephenie Meyer,Stephenie Meyer,10,9,941441.0,3.84,1656001.0,819307.0,THE HOST,female,620,True
5,5,SNUFF,Chuck Palahniuk,Chuck Palahniuk,10,3,2546.0,3.19,1840511.0,50665.0,SNUFF,male,,True
10,10,THE WHOLE TRUTH,David Baldacci,David Baldacci,10,6,9291.0,4.01,2260637.0,25958.0,THE WHOLE TRUTH,male,,True
13,13,BRIGHT SHINY MORNING,James Frey,James Frey,12,2,822.0,3.81,2179832.0,12555.0,BRIGHT SHINY MORNING,,,True
14,14,THE ART OF RACING IN THE RAIN,Garth Stein,Garth Stein,13,5,194531.0,4.2,3153910.0,395338.0,THE ART OF RACING IN THE RAIN,male,321,True
16,16,THE STEEL WAVE,Jeff Shaara,Jeff Shaara,15,2,14655.0,4.22,2047408.0,5408.0,THE STEEL WAVE,male,493,True
17,17,EXECUTIVE PRIVILEGE,Phillip Margolin,Phillip Margolin,16,0,7153.0,3.81,2396743.0,6025.0,EXECUTIVE PRIVILEGE,male,358,True
19,19,NETHERLAND,Joseph O'Neill,Joseph O'Neill,18,0,389474.0,3.41,2615008.0,16516.0,NETHERLAND,male,269,True
20,20,THE APPEAL,John Grisham,John Grisham,16,0,721.0,3.59,1248179.0,45355.0,THE APPEAL,male,,True
22,22,BLOOD NOIR,Laurell K Hamilton,Laurell K. Hamilton,1,4,9550.0,3.85,2149535.0,36046.0,BLOOD NOIR,female,,True
23,23,CHASING HARRY WINSTON,Lauren Weisberger,Lauren Weisberger,10,9,3490.0,3.33,426775.0,72395.0,CHASING HARRY WINSTON,female,288,True
26,26,BLUE SMOKE AND MURDER,Elizabeth Lowell,Elizabeth Lowell,17,0,19051.0,3.88,2183985.0,3276.0,BLUE SMOKE AND MURDER,female,404,True
27,27,THE ENCHANTRESS OF FLORENCE,Salman Rushdie,Salman Rushdie,18,0,3299.0,3.58,1317696.0,15710.0,THE ENCHANTRESS OF FLORENCE,male,359,True
28,28,NOTHING TO LOSE,Lee Child,Lee Child,1,5,5091.0,3.91,2211221.0,45190.0,NOTHING TO LOSE,male,None,True
29,29,PLAGUE SHIP,Clive Cussler with Jack Du Brul,Clive Cussler,13,4,18411.0,4.04,2055151.0,9658.0,PLAGUE SHIP,male,515,True
31,31,THE SPIES OF WARSAW,Alan Furst,Alan Furst,16,1,49941.0,3.9,2294328.0,5289.0,THE SPIES OF WARSAW,male,266,True
32,32,THE GARDEN OF LAST DAYS,Andre Dubus,Andre Dubus III,17,0,9785.0,3.46,2079538.0,4471.0,THE GARDEN OF LAST DAYS,male,535,True
34,34,SAIL,James Patterson and Howard Roughan,James Patterson,1,9,3780.0,3.8,2029176.0,23962.0,SAIL,male,388,True
36,36,THE BROKEN WINDOW,Jeffery Deaver,Jeffery Deaver,12,4,1612.0,4.08,2230284.0,15498.0,THE BROKEN WINDOW,male,414,True
37,37,MARRIED LOVERS,Jackie Collins,Jackie Collins,13,2,49699.0,3.78,2356639.0,3112.0,MARRIED LOVERS,female,512,True
39,39,THE BRIEF WONDROUS LIFE OF OSCAR WAO,Junot Díaz,Junot Díaz,19,0,55215.0,3.9,297673.0,207423.0,THE BRIEF WONDROUS LIFE OF OSCAR WAO,male,335,True
41,41,NO CHOICE BUT SEDUCTION,Johanna Lindsey,Johanna Lindsey,10,1,29542.0,3.93,2218382.0,7075.0,NO CHOICE BUT SEDUCTION,female,362,True
42,42,THE BEACH HOUSE,Jane Green,James Patterson,10,6,3780.0,3.84,7510.0,75581.0,THE BEACH HOUSE,male,356,True
47,47,QUEEN OF BABBLE GETS HITCHED,Meg Cabot,Meg Cabot,20,0,11654.0,3.82,2068676.0,31991.0,QUEEN OF BABBLE GETS HITCHED,,,True
48,48,THE LAST PATRIOT,Brad Thor,Brad Thor,1,6,5088.0,4.17,2336803.0,16059.0,THE LAST PATRIOT,male,352,True
49,49,CHASING DARKNESS,Robert Crais,Robert Crais,11,2,8944.0,4.19,1689469.0,14390.0,CHASING DARKNESS,male,273,True
51,51,DEATH ANGEL,Linda Howard,Linda Howard,12,2,16961.0,3.79,2067180.0,8784.0,DEATH ANGEL,female,341,True
52,52,A SUMMER AFFAIR,Elin Hilderbrand,Elin Hilderbrand,18,0,88301.0,3.7,2285777.0,26559.0,A SUMMER AFFAIR,None,408,True
53,53,TRIBUTE,Nora Roberts,Nora Roberts,1,6,625.0,3.93,2003767.0,22342.0,TRIBUTE,female,,True
54,54,SWAN PEAK,James Lee Burke,James Lee Burke,12,3,7031.0,4.11,3346854.0,6891.0,SWAN PEAK,male,402,True
59,59,KILLER VIEW,Ridley Pearson,Ridley Pearson,15,1,6244.0,3.74,2027685.0,1590.0,KILLER VIEW,,,True
60,60,A THOUSAND SPLENDID SUNS,Khaled Hosseini,Khaled Hosseini,18,0,569.0,4.36,128029.0,985428.0,A THOUSAND SPLENDID SUNS,male,,True
61,61,THE SECRET SERVANT,Daniel Silva,Daniel Silva,1,6,29085.0,4.26,93796.0,19412.0,THE SECRET SERVANT,None,385,True
62,63,INTO THE FIRE,Suzanne Brockmann,Suzanne Collins,7,1,153394.0,4.29,6148028.0,2164545.0,INTO THE FIRE,female,391,True
65,67,BY SCHISM RENT ASUNDER,David Weber,David Weber,18,0,10517.0,4.11,2381756.0,6751.0,BY SCHISM RENT ASUNDER,male,510,True
67,69,THE BOURNE SANCTION,Eric Van Lustbader,Eric Van Lustbader,11,7,39467.0,3.89,2590991.0,7335.0,THE BOURNE SANCTION,male,,True
70,72,THE CLONE WARS,Karen Traviss,Karen Traviss,13,2,12672.0,3.82,2919938.0,2643.0,THE CLONE WARS,female,256,True
72,74,ACHERON,Sherrilyn Kenyon,Sherrilyn Kenyon,1,4,4430.0,4.59,2299110.0,51032.0,ACHERON,None,728,True
75,77,THE GARGOYLE,Andrew Davidson,Andrew Davidson,13,3,149883.0,3.96,2595138.0,40574.0,THE GARGOYLE,male,465,True
76,78,SMOKE SCREEN,Sandra Brown,Sandra Brown,1,5,6218.0,3.99,2306910.0,13637.0,SMOKE SCREEN,female,398,True
79,81,OFF SEASON,Anne Rivers Siddons,Anne Rivers Siddons,12,4,6946.0,3.5,2825872.0,5460.0,OFF SEASON,female,358,True
80,82,THE 19TH WIFE,David Ebershoff,David Ebershoff,12,1,49229.0,3.63,2586771.0,53068.0,THE 19TH WIFE,male,514,True
83,85,BEING ELIZABETH,Barbara Taylor Bradford,Barbara Taylor Bradford,12,1,5353.0,3.32,2957414.0,1161.0,BEING ELIZABETH,female,416,True
85,87,DEVIL BONES,Kathy Reichs,Kathy Reichs,1,4,26372.0,3.9,2095583.0,22908.0,DEVIL BONES,female,310,True
86,88,THE GYPSY MORPH,Terry Brooks,Terry Brooks,10,3,9629.0,4.14,2675261.0,11748.0,THE GYPSY MORPH,male,402,True
88,91,THE LAUGHTER OF DEAD KINGS,Elizabeth Peters,Elizabeth Peters,16,1,16549.0,3.82,2868766.0,3441.0,THE LAUGHTER OF DEAD KINGS,female,324,True
89,92,JUST BREATHE,Susan Wiggs,Susan Wiggs,16,0,21155.0,3.93,3134684.0,11256.0,JUST BREATHE,female,,True
91,94,THE BOOK OF LIES,Brad Meltzer,Brad Meltzer,11,5,14610.0,3.6,3202905.0,10914.0,THE BOOK OF LIES,male,334,True
92,95,AMERICAN WIFE,Curtis Sittenfeld,Curtis Sittenfeld,12,5,6429.0,3.73,2807199.0,46327.0,AMERICAN WIFE,male,555,True
96,99,THE SCOURGE OF GOD,S M Stirling,S.M. Stirling,19,0,14002.0,3.91,2922849.0,4522.0,THE SCOURGE OF GOD,male,450,True
98,102,THE KEEPSAKE,Tess Gerritsen,Tess Gerritsen,15,2,18149.0,4.1,2653622.0,29612.0,THE KEEPSAKE,female,,True
99,103,SUPREME COURTSHIP,Christopher Buckley,Christopher Buckley,16,1,16903.0,3.65,3288096.0,4021.0,SUPREME COURTSHIP,male,285,True
101,105,THE OTHER QUEEN,Philippa Gregory,Philippa Gregory,10,6,9987.0,3.64,2241558.0,38555.0,THE OTHER QUEEN,female,,True
102,106,FAEFEVER,Karen Marie Moning,Karen Marie Moning,13,3,48206.0,4.33,2702704.0,83950.0,FAEFEVER,female,,True
103,107,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,Stieg Larsson,10,5,706255.0,4.13,2429135.0,2237309.0,THE GIRL WITH THE DRAGON TATTOO,male,465,True
105,109,INDIGNATION,Philip Roth,Philip Roth,10,2,463.0,3.71,3015764.0,12715.0,INDIGNATION,male,233,True
106,111,PAUL OF DUNE,Brian Herbert and Kevin J Anderson,Brian Herbert,11,1,56.0,3.68,2920001.0,6214.0,PAUL OF DUNE,male,512,True
107,112,ORDER 66,Karen Traviss,Karen Traviss,12,1,12672.0,4.26,2174486.0,4152.0,ORDER 66,female,432,True
111,116,THE GIVEN DAY,Dennis Lehane,Dennis Lehane,10,4,10289.0,4.04,2830067.0,21802.0,THE GIVEN DAY,None,704,True
112,117,HOT MAHOGANY,Stuart Woods,Stuart Woods,14,3,3936.0,3.78,2900249.0,5574.0,HOT MAHOGANY,male,304,True
116,122,THE COMFORTS OF A MUDDY SATURDAY,Alexander McCall Smith,Alexander McCall Smith,16,1,4738.0,3.78,2502504.0,6204.0,THE COMFORTS OF A MUDDY SATURDAY,male,240,True
117,124,NIGHT OF THUNDER,Stephen Hunter,Stephen Hunter,17,0,12546.0,3.81,2990651.0,3250.0,NIGHT OF THUNDER,male,287,True
118,126,THE LUCKY ONE,Nicholas Sparks,Nicholas Sparks,1,9,2345.0,4.11,3063499.0,305693.0,THE LUCKY ONE,male,326,True
120,128,A CEDAR COVE CHRISTMAS,Debbie Macomber,Debbie Macomber,13,4,11349.0,4.05,3337374.0,7220.0,A CEDAR COVE CHRISTMAS,female,256,True
123,132,A MOST WANTED MAN,John le Carré,John le Carré,11,4,1411964.0,3.49,3281277.0,9815.0,A MOST WANTED MAN,male,,True
126,135,DEVIL'S BROOD,Sharon Kay Penman,Sharon Kay Penman,16,0,24655.0,4.37,2859559.0,6327.0,DEVIL'S BROOD,female,736,True
127,137,THE QUILTER'S KITCHEN,Jennifer Chiaverini,Jennifer Chiaverini,18,0,11630.0,3.49,2881228.0,2481.0,THE QUILTER'S KITCHEN,female,214,True
130,141,THE BRASS VERDICT,Michael Connelly,Michael Connelly,1,6,12470.0,4.11,2761626.0,49440.0,THE BRASS VERDICT,male,,True
134,145,I SEE YOU EVERYWHERE,Julia Glass,Julia Glass,20,0,9972.0,3.21,3078805.0,5450.0,I SEE YOU EVERYWHERE,female,287,True
135,146,EXTREME MEASURES,Vince Flynn,Vince Flynn,1,6,14989.0,4.32,3313418.0,43172.0,EXTREME MEASURES,male,448,True
138,149,ROUGH WEATHER,Robert B Parker,Robert B. Parker,14,3,397.0,3.97,3062753.0,7158.0,ROUGH WEATHER,male,294,True
139,150,TESTIMONY,Anita Shreve,Anita Shreve,10,5,3530.0,3.56,3121162.0,26204.0,TESTIMONY,female,,True
141,152,MILLENNIUM FALCON,James Luceno,James Luceno,14,1,9346.0,3.83,3545495.0,3966.0,MILLENNIUM FALCON,male,,True
142,153,THE GATE HOUSE,Nelson DeMille,Nelson DeMille,1,9,1238.0,3.74,3216451.0,15109.0,THE GATE HOUSE,male,677,True
143,155,A GOOD WOMAN,Danielle Steel,Danielle Steel,10,2,14255.0,3.93,2892420.0,6413.0,A GOOD WOMAN,female,None,True
145,158,DIVINE JUSTICE,David Baldacci,David Baldacci,1,9,9291.0,4.19,3410425.0,43810.0,DIVINE JUSTICE,male,,True
146,159,SALVATION IN DEATH,J D Robb,J.D. Robb,15,3,17065.0,4.27,2494204.0,18825.0,SALVATION IN DEATH,None,353,True
147,160,SWALLOWING DARKNESS,Laurell K Hamilton,Laurell K. Hamilton,10,2,9550.0,4.14,2798094.0,26639.0,SWALLOWING DARKNESS,female,365,True
148,161,MIDNIGHT,Sister Souljah,Salman Rushdie,14,2,3299.0,3.99,14836.0,93467.0,MIDNIGHT,male,647,True
149,162,SANTA CLAWED,Rita Mae Brown & Sneaky Pie Brown,Rita Mae Brown,17,0,23511.0,3.74,3190662.0,1998.0,SANTA CLAWED,female,237,True
150,163,THE CHRISTMAS SWEATER,Glenn Beck with Kevin Balfe and Jason Wright,Glenn Beck,1,9,188932.0,3.79,3268926.0,14238.0,THE CHRISTMAS SWEATER,male,284,True
151,164,JUST AFTER SUNSET,Stephen King,Stephen King,12,8,3389.0,3.87,2906039.0,42809.0,JUST AFTER SUNSET,male,539,True
152,165,THE HOUR I FIRST BELIEVED,Wally Lamb,Wally Lamb,10,9,3505.0,3.81,3086160.0,53248.0,THE HOUR I FIRST BELIEVED,male,740,True
156,169,ENDER IN EXILE,Orson Scott Card,Orson Scott Card,16,1,589.0,3.9,3220405.0,41861.0,ENDER IN EXILE,male,,True
157,170,CROSS COUNTRY,James Patterson,James Patterson,1,9,3780.0,3.85,1713912.0,31972.0,CROSS COUNTRY,male,480,True
160,173,ARCTIC DRIFT,Clive Cussler and Dirk Cussler,Clive Cussler,11,6,18411.0,3.9,2990950.0,11746.0,ARCTIC DRIFT,male,515,True
161,174,YOUR HEART BELONGS TO ME,Dean Koontz,Dean Koontz,10,5,9355.0,3.34,2983562.0,14473.0,YOUR HEART BELONGS TO ME,None,337,True
164,177,SCARPETTA,Patricia Cornwell,Patricia Cornwell,1,9,1025097.0,3.74,2833172.0,26164.0,SCARPETTA,female,500,True
165,179,THE CHARLEMAGNE PURSUIT,Steve Berry,Steve Berry,12,4,3621.0,3.89,3124122.0,16058.0,THE CHARLEMAGNE PURSUIT,male,None,True
170,185,FROM DEAD TO WORSE,Charlaine Harris,Charlaine Harris,11,6,17061.0,4.01,2233407.0,167366.0,FROM DEAD TO WORSE,None,359,True
171,186,PLUM SPOOKY,Janet Evanovich,Janet Evanovich,1,7,2384.0,3.79,3400816.0,39053.0,PLUM SPOOKY,female,384,True
173,188,MOUNTING FEARS,Stuart Woods,Stuart Woods,14,3,3936.0,3.74,3537195.0,2775.0,MOUNTING FEARS,male,,True
