,author,author_id,average_rating,book_id,ratings_count,title,title_query
0,Allegra Goodman,16264,3.31,7632696,11945,The Cookbook Collector,THE COOKBOOK COLLECTOR
1,Alexander McCall Smith,4738,3.72,13642130,3932,"The Uncommon Appeal of Clouds (Isabel Dalhousie, #9)",THE UNCOMMON APPEAL OF CLOUDS
2,Cathleen Schine,127216,2.90,6670347,7598,The Three Weissmanns of Westport,THE THREE WEISSMANNS OF WESTPORT
3,Amanda Quick,42211,4.03,6908832,7193,"Burning Lamp (Arcane Society, #8; Dreamlight Trilogy, #2)",BURNING LAMP
4,Jennifer Chiaverini,11630,3.86,6654118,3777,"The Aloha Quilt (Elm Creek Quilts, #16)",THE ALOHA QUILT
5,Louise Penny,194243,4.20,16045144,35792,"The Beautiful Mystery (Chief Inspector Armand Gamache, #8)",THE BEAUTIFUL MYSTERY
6,Tess Gerritsen,18149,4.10,2653622,29612,"The Keepsake (Rizzoli &amp; Isles, #7)",THE KEEPSAKE
7,Patrick Rothfuss,108424,4.58,1215032,346792,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",THE WISE MAN'S FEAR
8,Kate Morton,615274,4.05,21104828,81203,The Lake House,THE LAKE HOUSE
9,Susan Elizabeth Phillips,41313,4.08,8437379,19182,"Call Me Irresistible (Wynette, Texas, #5)",CALL ME IRRESISTIBLE
10,Christina Baker Kline,157146,3.87,30255942,47666,A Piece of the World,A PIECE OF THE WORLD
11,Debbie Macomber,11349,4.04,16156294,11497,"Rose Harbor in Bloom (Rose Harbor, #2)",ROSE HARBOR IN BLOOM
12,Roma Downey,435808,4.24,15789630,491,"A Story of God and All of Us: A Novel Based on the Epic TV Miniseries ""The Bible""",THE STORY OF GOD AND ALL OF US
13,James Lee Burke,7031,4.00,6238661,4559,"Rain Gods (Hackberry Holland, #2)",RAIN GODS
14,Johanna Lindsey,29542,3.98,7125012,6079,"That Perfect Someone (Malory-Anderson Family, #10)",THAT PERFECT SOMEONE
15,Suzanne Collins,153394,4.33,2767052,5629612,"The Hunger Games (The Hunger Games, #1)",THE GAMES
16,James Patterson,3780,3.92,14781501,29467,"NYPD Red (NYPD Red, #1)",NYPD RED
17,Lauren Wilkinson,17287509,3.96,40274582,82,American Spy,AN AMERICAN SPY
18,Dean Koontz,9355,4.14,15722284,16771,"Saint Odd (Odd Thomas, #7)",SAINT ODD
19,Ruth Ware,9013543,3.68,27834600,150137,"In a Dark, Dark Wood","IN A DARK, DARK WOOD"
20,Richard Paul Evans,46097,4.15,23058989,10312,The Mistletoe Promise,THE MISTLETOE PROMISE
21,Sandra Brown,6218,3.96,29203612,18194,Sting,STING
22,Iris Johansen,32498,4.08,23847964,3997,"Shadow Play (Eve Duncan, #19)",SHADOW PLAY
23,Wally Lamb,3505,3.81,3086160,53248,The Hour I First Believed,THE HOUR I FIRST BELIEVED
24,Robert Galbraith,383606,4.22,40611999,129310,"Career of Evil (Cormoran Strike, #3)",CAREER OF EVIL
25,Dan Simmons,2687,4.02,11279,17233,Summer of Night (Seasons of Horror #1),THE NIGHT SEASON
26,Mark Helprin,8146,3.47,13391073,3365,In Sunlight and in Shadow,IN SUNLIGHT AND IN SHADOW
27,Richard Castle,1953433,3.97,17336666,8793,"Deadly Heat (Nikki Heat, #5)",DEADLY HEAT
28,Leila Sales,3390621,3.69,10637697,5895,Past Perfect,PAST PERFECT
29,Rainbow Rowell,4208569,3.55,18081809,139762,Landline,LANDLINE
30,Robyn Carr,107767,4.20,5324907,9855,"Paradise Valley (Virgin River, #7)",PARADISE VALLEY
31,Eleanor Catton,2093764,3.71,17333230,55312,The Luminaries,THE LUMINARIES
32,Eric Van Lustbader,39467,3.89,2590991,7335,"The Bourne Sanction (Jason Bourne, #6)",THE BOURNE SANCTION
33,Haruki Murakami,3354,4.03,11297,267492,Norwegian Wood,INTO THE WOODS
34,Jennifer Chiaverini,11630,3.76,10782121,2638,The Wedding Quilt (Elm Creek Quilts #18),THE WEDDING QUILT
35,Paolo Bacigalupi,1226977,3.83,23209924,17759,The Water Knife,THE WATER KNIFE
36,Elizabeth Strout,97313,3.56,15823461,51098,The Burgess Boys,THE BURGESS BOYS
