,author,author_id,average_rating,book_id,ratings_count,title,title_query,title_match,gender,num_pages
0,Allegra Goodman,16264.0,3.31,7632696.0,11945.0,THE COOKBOOK COLLECTOR,THE COOKBOOK COLLECTOR,True,,
1,Alexander McCall Smith,4738.0,3.72,13642130.0,3932.0,THE UNCOMMON APPEAL OF CLOUDS,THE UNCOMMON APPEAL OF CLOUDS,True,male,288
2,Cathleen Schine,127216.0,2.9,6670347.0,7598.0,THE THREE WEISSMANNS OF WESTPORT,THE THREE WEISSMANNS OF WESTPORT,True,female,295
3,Amanda Quick,42211.0,4.03,6908832.0,7193.0,BURNING LAMP,BURNING LAMP,True,None,340
4,Jennifer Chiaverini,11630.0,3.86,6654118.0,3777.0,THE ALOHA QUILT,THE ALOHA QUILT,True,female,
5,Louise Penny,194243.0,4.2,16045144.0,35792.0,THE BEAUTIFUL MYSTERY,THE BEAUTIFUL MYSTERY,True,,
6,Tess Gerritsen,18149.0,4.1,2653622.0,29612.0,THE KEEPSAKE,THE KEEPSAKE,True,female,
7,Patrick Rothfuss,108424.0,4.58,1215032.0,346792.0,THE WISE MAN'S FEAR,THE WISE MAN'S FEAR,True,male,
8,Kate Morton,615274.0,4.05,21104828.0,81203.0,THE LAKE HOUSE,THE LAKE HOUSE,True,None,495
9,Susan Elizabeth Phillips,41313.0,4.08,8437379.0,19182.0,CALL ME IRRESISTIBLE,CALL ME IRRESISTIBLE,True,female,385
10,Christina Baker Kline,157146.0,3.87,30255942.0,47666.0,A PIECE OF THE WORLD,A PIECE OF THE WORLD,True,female,352
11,Debbie Macomber,11349.0,4.04,16156294.0,11497.0,ROSE HARBOR IN BLOOM,ROSE HARBOR IN BLOOM,True,female,
12,Roma Downey,435808.0,4.24,15789630.0,491.0,THE STORY OF GOD AND ALL OF US,THE STORY OF GOD AND ALL OF US,True,None,352
13,James Lee Burke,7031.0,4.0,6238661.0,4559.0,RAIN GODS,RAIN GODS,True,male,434
14,Johanna Lindsey,29542.0,3.98,7125012.0,6079.0,THAT PERFECT SOMEONE,THAT PERFECT SOMEONE,True,female,372
15,Suzanne Collins,153394.0,4.33,2767052.0,5629612.0,THE GAMES,THE GAMES,True,female,374
16,James Patterson,3780.0,3.92,14781501.0,29467.0,NYPD RED,NYPD RED,True,male,512
17,Lauren Wilkinson,17287509.0,3.96,40274582.0,82.0,AN AMERICAN SPY,AN AMERICAN SPY,True,female,304
18,Dean Koontz,9355.0,4.14,15722284.0,16771.0,SAINT ODD,SAINT ODD,True,None,
19,Ruth Ware,9013543.0,3.68,27834600.0,150137.0,"IN A DARK, DARK WOOD","IN A DARK, DARK WOOD",True,None,
20,Richard Paul Evans,46097.0,4.15,23058989.0,10312.0,THE MISTLETOE PROMISE,THE MISTLETOE PROMISE,True,male,
21,Sandra Brown,6218.0,3.96,29203612.0,18194.0,STING,STING,True,female,
22,Iris Johansen,32498.0,4.08,23847964.0,3997.0,SHADOW PLAY,SHADOW PLAY,True,None,
23,Wally Lamb,3505.0,3.81,3086160.0,53248.0,THE HOUR I FIRST BELIEVED,THE HOUR I FIRST BELIEVED,True,male,740
24,Robert Galbraith,383606.0,4.22,40611999.0,129310.0,CAREER OF EVIL,CAREER OF EVIL,True,female,
25,Dan Simmons,2687.0,4.02,11279.0,17233.0,THE NIGHT SEASON,THE NIGHT SEASON,True,,
26,Mark Helprin,8146.0,3.47,13391073.0,3365.0,IN SUNLIGHT AND IN SHADOW,IN SUNLIGHT AND IN SHADOW,True,male,705
27,Richard Castle,1953433.0,3.97,17336666.0,8793.0,DEADLY HEAT,DEADLY HEAT,True,male,291
28,Leila Sales,3390621.0,3.69,10637697.0,5895.0,PAST PERFECT,PAST PERFECT,True,female,306
29,Rainbow Rowell,4208569.0,3.55,18081809.0,139762.0,LANDLINE,LANDLINE,True,None,310
30,Robyn Carr,107767.0,4.2,5324907.0,9855.0,PARADISE VALLEY,PARADISE VALLEY,True,,
31,Eleanor Catton,2093764.0,3.71,17333230.0,55312.0,THE LUMINARIES,THE LUMINARIES,True,,
32,Eric Van Lustbader,39467.0,3.89,2590991.0,7335.0,THE BOURNE SANCTION,THE BOURNE SANCTION,True,male,
33,Haruki Murakami,3354.0,4.03,11297.0,267492.0,INTO THE WOODS,INTO THE WOODS,True,male,296
34,Jennifer Chiaverini,11630.0,3.76,10782121.0,2638.0,THE WEDDING QUILT,THE WEDDING QUILT,True,female,
35,Paolo Bacigalupi,1226977.0,3.83,23209924.0,17759.0,THE WATER KNIFE,THE WATER KNIFE,True,None,371
36,Elizabeth Strout,97313.0,3.56,15823461.0,51098.0,THE BURGESS BOYS,THE BURGESS BOYS,True,female,320
37,Debbie Macomber,11349.0,3.85,13533655.0,5436.0,ANGELS AT THE TABLE,ANGELS AT THE TABLE,True,female,
38,George R.R. Martin,346732.0,3.69,17279560.0,10558.0,DANGEROUS WOMEN,DANGEROUS WOMEN,True,male,736
39,Alexander McCall Smith,4738.0,3.78,2502504.0,6204.0,THE COMFORTS OF A MUDDY SATURDAY,THE COMFORTS OF A MUDDY SATURDAY,True,male,240
40,W.E.B. Griffin,1415338.0,4.04,30072482.0,1121.0,CURTAIN OF DEATH,CURTAIN OF DEATH,True,male,
41,Stuart Woods,3936.0,3.78,2900249.0,5574.0,HOT MAHOGANY,HOT MAHOGANY,True,male,304
42,Tim Dorsey,27017.0,4.1,8586212.0,2032.0,ELECTRIC BARRACUDA,ELECTRIC BARRACUDA,True,male,357
43,James Patterson,3780.0,4.23,30736665.0,15491.0,THE BLACK BOOK,THE BLACK BOOK,True,male,418
44,Maitreyi Devi,253901.0,3.9,452198.0,1724.0,DO OR DIE,DO OR DIE,True,female,264
45,Patricia Briggs,40563.0,4.34,7942786.0,39983.0,FAIR GAME,FAIR GAME,True,female,
46,Sophie Kinsella,6160.0,3.41,17910611.0,69961.0,WEDDING NIGHT,WEDDING NIGHT,True,None,
47,Steve Berry,3621.0,3.83,18310175.0,10210.0,THE LINCOLN MYTH,THE LINCOLN MYTH,True,male,
48,Hilary Mantel,58851.0,3.45,20563988.0,7515.0,THE ASSASSINATION OF MARGARET THATCHER,THE ASSASSINATION OF MARGARET THATCHER,True,,
49,Yann Martel,811.0,3.14,7176578.0,18379.0,BEATRICE AND VIRGIL,BEATRICE AND VIRGIL,True,,
50,Amanda Quick,42211.0,3.83,18667949.0,5734.0,OTHERWISE ENGAGED,OTHERWISE ENGAGED,True,None,352
51,J.D. Robb,17065.0,4.35,24611529.0,15373.0,DEVOTED IN DEATH,DEVOTED IN DEATH,True,None,374
52,John Grisham,721.0,3.73,34121119.0,64064.0,CAMINO ISLAND,CAMINO ISLAND,True,male,
53,Jojo Moyes,281810.0,4.18,41839602.0,81101.0,STILL ME,STILL ME,True,female,
54,Jennifer Egan,49625.0,3.4,774726.0,10385.0,LOOKING FOR ME,LOOKING FOR ME,True,female,417
55,Umberto Eco,1730.0,3.42,10314376.0,19976.0,THE PRAGUE CEMETERY,THE PRAGUE CEMETERY,True,,
56,Sherrilyn Kenyon,4430.0,4.22,6944032.0,66324.0,NIGHT OF THE HUNTER,NIGHT OF THE HUNTER,True,None,309
57,Neal Stephenson,545.0,3.97,10552338.0,44259.0,REAMDE,REAMDE,True,male,1044
58,Karen Marie Moning,48206.0,4.21,12444298.0,18489.0,FEVERBORN,FEVERBORN,True,female,
59,Jim Butcher,10746.0,4.02,47212.0,248833.0,STORM FRONT,STORM FRONT,True,male,322
60,Zadie Smith,2522.0,3.57,28390369.0,42368.0,SWING TIME,SWING TIME,True,female,453
61,Emily Giffin,13370.0,3.88,12987977.0,80317.0,WHERE WE BELONG,WHERE WE BELONG,True,female,372
62,Danielle Steel,14255.0,3.81,13531845.0,6041.0,THE SINS OF THE MOTHER,THE SINS OF THE MOTHER,True,female,354
63,Liane Moriarty,322069.0,4.25,19486412.0,564621.0,MORIARTY,MORIARTY,True,None,
64,Olen Steinhauer,327983.0,3.62,17934481.0,4657.0,THE CAIRO AFFAIR,THE CAIRO AFFAIR,True,male,416
65,Jane Green,12915.0,3.43,6054190.0,12548.0,DUNE ROAD,DUNE ROAD,True,female,341
66,Sadie Jones,821338.0,3.61,2054504.0,7837.0,OUTCAST,OUTCAST,True,female,352
67,Christine Feehan,6268.0,4.22,10606009.0,10691.0,DARK PREDATOR,DARK PREDATOR,True,female,372
68,Catherine Coulter,1239.0,4.04,29093764.0,6295.0,INSIDIOUS,INSIDIOUS,True,female,
69,Bob Drury,333999.0,4.13,38363129.0,145.0,VALLEY FORGE,VALLEY FORGE,True,,
70,Betsy Brannon Green,184835.0,4.15,2869022.0,2127.0,HAZARDOUS DUTY,HAZARDOUS DUTY,True,,
71,Fiona Barton,14031516.0,3.49,25734248.0,68726.0,THE WIDOW,THE WIDOW,True,,
72,Eileen Cook,1049315.0,3.52,26153925.0,8839.0,MALICE,MALICE,True,,
73,Christopher Moore,16218.0,3.79,35301333.0,6736.0,NOIR,NOIR,True,male,339
74,S.M. Stirling,14002.0,3.83,13543199.0,2164.0,LORD OF MOUNTAINS,LORD OF MOUNTAINS,True,male,336
75,Glenn Beck,188932.0,3.82,17706554.0,1024.0,THE EYE OF MOLOCH,THE EYE OF MOLOCH,True,male,432
76,Randy Susan Meyers,3006839.0,3.69,6674372.0,13213.0,THE MURDERER'S DAUGHTER,THE MURDERER'S DAUGHTER,True,,
77,S.H. Kolee,6435350.0,3.74,17458607.0,429.0,HUNTING SHADOWS,HUNTING SHADOWS,True,female,None
78,John Grisham,721.0,3.81,13154952.0,35627.0,CALICO JOE,CALICO JOE,True,male,
79,Eric Van Lustbader,39467.0,3.92,9682791.0,4440.0,THE BOURNE DOMINION,THE BOURNE DOMINION,True,male,
80,Diana Gabaldon,3617.0,4.23,32739396.0,6343.0,SEVEN STONES TO STAND OR FALL,SEVEN STONES TO STAND OR FALL,True,female,
81,Christie Golden,7710.0,3.81,34364387.0,3393.0,BATTLEFRONT II: INFERNO SQUAD,BATTLEFRONT II: INFERNO SQUAD,True,female,336
82,Danielle Steel,14255.0,3.89,6363484.0,6032.0,SOUTHERN LIGHTS,SOUTHERN LIGHTS,True,female,
83,Erin Bowman,4774653.0,3.76,11044367.0,11156.0,TAKEN,TAKEN,True,,
84,Daniel Silva,29085.0,4.3,5739373.0,24665.0,THE DEFECTOR,THE DEFECTOR,True,None,480
85,John Lescroart,10521.0,4.12,5802612.0,4792.0,A PLAGUE OF SECRETS,A PLAGUE OF SECRETS,True,male,
86,J.D. Robb,17065.0,4.41,3492020.0,28896.0,PROMISES IN DEATH,PROMISES IN DEATH,True,None,
87,Jasper Fforde,4432.0,3.95,8131227.0,16395.0,ONE OF OUR THURSDAYS IS MISSING,ONE OF OUR THURSDAYS IS MISSING,True,male,362
88,Fannie Flagg,6125.0,3.57,7897620.0,15937.0,I STILL DREAM ABOUT YOU,I STILL DREAM ABOUT YOU,True,female,
89,John le Carré,1411964.0,3.4,7839766.0,9168.0,OUR KIND OF TRAITOR,OUR KIND OF TRAITOR,True,male,
90,Jennifer Egan,49625.0,3.4,774726.0,10385.0,LOOK FOR ME,LOOK FOR ME,True,female,417
91,Curtis Sittenfeld,6429.0,3.35,16099180.0,34953.0,SISTERLAND,SISTERLAND,True,male,
92,Kresley Cole,4428.0,4.42,10790516.0,36245.0,LOTHAIRE,LOTHAIRE,True,None,468
93,Orson Scott Card,589.0,3.9,3220405.0,41861.0,ENDER IN EXILE,ENDER IN EXILE,True,male,
94,M.J. Hyland,136085.0,3.43,251052.0,3480.0,HOW THE LIGHT GETS IN,HOW THE LIGHT GETS IN,True,None,336
95,Steve Berry,3621.0,3.93,21853687.0,7918.0,THE PATRIOT THREAT,THE PATRIOT THREAT,True,male,386
96,Lorrie Moore,11746.0,3.15,6076387.0,16011.0,A GATE AT THE STAIRS,A GATE AT THE STAIRS,True,female,
97,Francine Rivers,6492.0,4.36,8142508.0,13429.0,HER DAUGHTER'S DREAM,HER DAUGHTER'S DREAM,True,female,580
98,Charlaine Harris,17061.0,3.77,28220808.0,6102.0,ALL THE LITTLE LIARS,ALL THE LITTLE LIARS,True,None,229
99,Albert Camus,957894.0,3.97,49552.0,573467.0,THE STRANGER,THE STRANGER,True,,
100,Mary Higgins Clark,99044.0,3.62,30753558.0,8613.0,"ALL BY MYSELF, ALONE","ALL BY MYSELF, ALONE",True,female,None
101,Harlan Coben,24689.0,3.98,6681454.0,44069.0,CAUGHT,CAUGHT,True,None,
102,Joanne Fluke,18819.0,3.75,11796251.0,7990.0,CINNAMON ROLL MURDER,CINNAMON ROLL MURDER,True,female,304
103,Lisa Wingate,178832.0,4.36,32148570.0,188316.0,BEFORE WE WERE YOURS,BEFORE WE WERE YOURS,True,female,342
104,Christine Feehan,6268.0,4.26,12398199.0,8808.0,DARK STORM,DARK STORM,True,female,
105,Kimberly McCreight,6452053.0,3.83,15776309.0,111156.0,RECONSTRUCTING AMELIA,RECONSTRUCTING AMELIA,True,female,382
106,Sophie Kinsella,6160.0,3.71,7415016.0,48050.0,MINI SHOPAHOLIC,MINI SHOPAHOLIC,True,None,418
107,Jeff Shaara,14655.0,4.17,15981669.0,2416.0,A CHAIN OF THUNDER,A CHAIN OF THUNDER,True,male,
108,Kimberly Marcus,4044314.0,3.73,8320987.0,2746.0,EXPOSED,EXPOSED,True,female,255
109,James Patterson,3780.0,3.8,2029176.0,23962.0,SAIL,SAIL,True,male,388
110,Joanne Fluke,18819.0,3.48,28439435.0,4782.0,CHRISTMAS CARAMEL MURDER,CHRISTMAS CARAMEL MURDER,True,female,204
111,David Foster Wallace,4339.0,3.95,9443405.0,13613.0,THE PALE KING,THE PALE KING,True,,
112,Sara Paretsky,28509.0,3.87,24875357.0,2970.0,BRUSH BACK,BRUSH BACK,True,female,459
113,Meg Cabot,11654.0,3.82,2068676.0,31991.0,QUEEN OF BABBLE GETS HITCHED,QUEEN OF BABBLE GETS HITCHED,True,,
114,Brandon Sanderson,38550.0,4.65,7235533.0,221651.0,THE WAY OF KINGS,THE WAY OF KINGS,True,male,1007
115,Sarah Addison Allen,566874.0,3.96,21853633.0,27287.0,FIRST FROST,FIRST FROST,True,female,296
116,T. Coraghessan Boyle,1064072.0,3.61,25756271.0,5454.0,THE HARDER THEY COME,THE HARDER THEY COME,True,None,
117,Eric Van Lustbader,39467.0,4.07,7144426.0,17690.0,THE BOURNE OBJECTIVE,THE BOURNE OBJECTIVE,True,male,437
118,Joel C. Rosenberg,221833.0,4.33,11474598.0,5051.0,THE TEHRAN INITIATIVE,THE TEHRAN INITIATIVE,True,male,459
119,Cath Crowley,1348627.0,4.1,31952703.0,15742.0,DEEP BLUE,DEEP BLUE,True,,
120,Oliver Pötzsch,2783820.0,3.73,9496240.0,62411.0,HANGMAN,HANGMAN,True,male,448
121,Peter Straub,6941.0,3.95,19581.0,62176.0,GHOST STORY,GHOST STORY,True,,
122,Garth Risk Hallberg,787031.0,3.41,24189224.0,12286.0,CITY ON FIRE,CITY ON FIRE,True,,
123,Robert Knott,828924.0,3.85,15824167.0,2334.0,ROBERT B PARKER'S IRONHORSE,ROBERT B PARKER'S IRONHORSE,True,male,374
124,Anna Quindlen,3500.0,3.64,17884042.0,45862.0,STILL LIFE WITH BREAD CRUMBS,STILL LIFE WITH BREAD CRUMBS,True,female,
125,Joel C. Rosenberg,221833.0,4.21,9246711.0,6827.0,THE TWELFTH IMAM,THE TWELFTH IMAM,True,male,None
126,James Patterson,3780.0,3.36,8273044.0,11236.0,TOYS,TOYS,True,male,364
127,Claire Messud,2508.0,3.31,15701217.0,29256.0,THE WOMAN UPSTAIRS,THE WOMAN UPSTAIRS,True,female,
128,Joanna Bourne,486041.0,4.02,959745.0,6244.0,SPYMASTER,SPYMASTER,True,female,373
