,author,author_id,average_rating,book_id,ratings_count,title,title_query
0,J.A. Jance,3453636,4.16,16248144,6036,"Second Watch (J.P. Beaumont, #21)",SECOND WATCH
1,William Gibson,9226,3.94,7745031,12762,"Zero History (Blue Ant, #3)",ZERO HISTORY
2,Charlaine Harris,17061,4.01,2233407,167366,"From Dead to Worse (Sookie Stackhouse, #8)",FROM DEAD TO WORSE
3,Joseph O'Neill,389474,3.41,2615008,16516,Netherland,NETHERLAND
4,J.A. Jance,3453636,4.17,27776494,4801,"Downfall (Joanna Brady, #17)",DOWNFALL
5,Lisa Kleypas,27847,4.16,4066312,33185,"Smooth Talking Stranger (Travises, #3)",SMOOTH TALKING STRANGER
6,Kyle Mills,76671,4.30,29493393,11674,"Order to Kill (Mitch Rapp, #15)",VINCE FLYNN: ORDER TO KILL
7,Carolyn Jessop,427437,3.97,818811,32970,Escape,THE ESCAPE
8,Donna Leon,16290,3.88,12862985,4526,"Beastly Things (Commissario Brunetti, #21)",BEASTLY THINGS
9,Jacqueline Winspear,5023,4.02,15819025,13714,"Leaving Everything Most Loved (Maisie Dobbs, #10)",LEAVING EVERYTHING MOST LOVED
10,Joseph Fink,2559520,3.84,23129410,27507,Welcome to Night Vale (Welcome to Night Vale #1),WELCOME TO NIGHT VALE
11,Lois Lowry,2493,3.98,13324841,70575,Son,THE SON
12,Stephen White,20950,3.68,17415169,1626,"Compound Fractures (Alan Gregory, #20)",COMPOUND FRACTURES
13,Jennifer Chiaverini,11630,3.40,18079837,2674,Mrs. Lincoln's Rival,MRS. LINCOLN'S RIVAL
14,Daniel Silva,29085,4.30,5739373,24665,"The Defector (Gabriel Allon, #9)",THE DEFECTOR
15,Janet Evanovich,2384,3.95,11732634,69499,"Smokin' Seventeen (Stephanie Plum, #17)",SMOKIN' SEVENTEEN
16,Randy Wayne White,27932,3.50,22571617,1796,"Cuba Straits (Doc Ford, #22)",CUBA STRAITS
17,Debbie Macomber,11349,3.73,6422470,6881,The Perfect Christmas,THE PERFECT CHRISTMAS
18,James Patterson,3780,3.84,28664911,11501,Woman of God,WOMAN OF GOD
19,Brad Meltzer,14610,3.75,22501099,7195,"The President's Shadow (Culper Ring, #3)",THE PRESIDENT'S SHADOW
20,Gregory Maguire,7025,2.79,24331115,9053,After Alice,AFTER ALICE
21,James Patterson,3780,3.84,7510,75581,The Beach House,THE BEACH HOUSE
22,Nick Hornby,2929,3.37,22749994,24649,Funny Girl,FUNNY GIRL
23,Jon Baird,1530227,3.31,25363511,1088,"A Passage to Shambhala (The Explorers Guild, #1)",THE EXPLORERS GUILD
